Strategy report
Symbol: /M2K:XCME
Work Time: 11/30/20 5:02 PM - 12/1/20 6:32 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
351;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,830.40;12/1/20 6:10 PM;;$21,200.00;500.0;
352;MACDStrat(MACDStratSE);Sell to Close;-100;-500.0;$1,831.10;12/1/20 6:20 PM;$350.00;$21,700.00;0.0;
353;MACDStrat(MACDStratSE);Sell to Open;-100;-500.0;$1,831.10;12/1/20 6:20 PM;;$21,800.00;-500.0;
354;MACDStrat(MACDStratLE);Buy to Close;100;500.0;$1,830.00;12/1/20 6:32 PM;$550.00;$22,250.00;0.0;
355;MACDStrat(MACDStratLE);Buy to Open;100;500.0;$1,830.00;12/1/20 6:32 PM;;$22,250.00;500.0;


Max trade P/L: $5,750.00;

Total P/L: $22,250.00;

Total order(s): 177;
